id,query,answer,choices,gold,label_type
headlines10,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines11,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines12,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",Yes,"[Yes, No]",0,""
headlines13,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",Yes,"[Yes, No]",0,""
headlines14,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines15,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines16,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines17,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",No,"[Yes, No]",1,""
headlines18,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Price or Not related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",Yes,"[Yes, No]",0,""
headlines19,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",Yes,"[Yes, No]",0,""
headlines20,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines21,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Down related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines22,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastPrice related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",Yes,"[Yes, No]",0,""
headlines23,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines24,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines25,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines26,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: gold futures end above $690 at highest level since late july
Answer:",No,"[Yes, No]",1,""
headlines27,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Price or Not related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",Yes,"[Yes, No]",0,""
headlines28,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",Yes,"[Yes, No]",0,""
headlines29,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines30,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Down related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines31,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastPrice related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",Yes,"[Yes, No]",0,""
headlines32,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines33,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines34,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines35,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: Gold futures finish at a 2-month high
Answer:",No,"[Yes, No]",1,""
headlines36,"Look for any mention of future gold prices. Does the news headline suggest a Price or Not for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",Yes,"[Yes, No]",0,""
headlines37,"Look for any mention of future gold prices. Does the news headline suggest a Direction Up for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines38,"Look for any mention of future gold prices. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines39,"Look for any mention of future gold prices. Does the news headline suggest a Direction Down for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",Yes,"[Yes, No]",0,""
headlines40,"Look for any mention of future gold prices. Does the news headline suggest a PastPrice for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",Yes,"[Yes, No]",0,""
headlines41,"Look for any mention of future gold prices. Does the news headline suggest a FuturePrice for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines42,"Look for any mention of future gold prices. Does the news headline suggest a PastNews for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines43,"Look for any mention of future gold prices. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines44,"Look for any mention of future gold prices. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: gold futures finish modestly lower
Answer:",No,"[Yes, No]",1,""
headlines45,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Price or Not related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",Yes,"[Yes, No]",0,""
headlines46,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines47,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines48,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Down related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",Yes,"[Yes, No]",0,""
headlines49,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastPrice related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",Yes,"[Yes, No]",0,""
headlines50,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines51,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines52,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines53,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: gold closes 0.2% down at $1,268.70/oz
Answer:",No,"[Yes, No]",1,""
headlines54,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Price or Not related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",Yes,"[Yes, No]",0,""
headlines55,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines56,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines57,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Down related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",Yes,"[Yes, No]",0,""
headlines58,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastPrice related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",Yes,"[Yes, No]",0,""
headlines59,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FuturePrice related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines60,"Consider whether the headline mentions the price of gold. Is the news headline discussing a PastNews related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines61,"Consider whether the headline mentions the price of gold. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines62,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Asset Comparision related to gold? Please respond with Yes or No.
Text: august gold drops $11 to close at a 1-wk low of $673.80/oz
Answer:",No,"[Yes, No]",1,""
headlines63,"Look for any references to future events concerning gold. In the context of gold, is there a Price or Not implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",Yes,"[Yes, No]",0,""
headlines64,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",Yes,"[Yes, No]",0,""
headlines65,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Constant implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines66,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Down implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines67,"Look for any references to future events concerning gold. In the context of gold, is there a PastPrice implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",Yes,"[Yes, No]",0,""
headlines68,"Look for any references to future events concerning gold. In the context of gold, is there a FuturePrice implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines69,"Look for any references to future events concerning gold. In the context of gold, is there a PastNews implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines70,"Look for any references to future events concerning gold. In the context of gold, is there a FutureNews implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines71,"Look for any references to future events concerning gold. In the context of gold, is there a Asset Comparision implied in the news headline? Respond with Yes or No.
Text: gold prices spike to one-month high; at rs 30,950 on buying push
Answer:",No,"[Yes, No]",1,""
headlines72,"Look for any mention of future gold prices. Does the news headline suggest a Price or Not for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",Yes,"[Yes, No]",0,""
headlines73,"Look for any mention of future gold prices. Does the news headline suggest a Direction Up for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",Yes,"[Yes, No]",0,""
headlines74,"Look for any mention of future gold prices. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines75,"Look for any mention of future gold prices. Does the news headline suggest a Direction Down for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines76,"Look for any mention of future gold prices. Does the news headline suggest a PastPrice for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",Yes,"[Yes, No]",0,""
headlines77,"Look for any mention of future gold prices. Does the news headline suggest a FuturePrice for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines78,"Look for any mention of future gold prices. Does the news headline suggest a PastNews for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines79,"Look for any mention of future gold prices. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines80,"Look for any mention of future gold prices. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: comex gold logs sixth straight session gain
Answer:",No,"[Yes, No]",1,""
headlines81,"Look for any mention of future gold prices. Does the news headline suggest a Price or Not for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",Yes,"[Yes, No]",0,""
headlines82,"Look for any mention of future gold prices. Does the news headline suggest a Direction Up for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",Yes,"[Yes, No]",0,""
headlines83,"Look for any mention of future gold prices. Does the news headline suggest a Direction Constant for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines84,"Look for any mention of future gold prices. Does the news headline suggest a Direction Down for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines85,"Look for any mention of future gold prices. Does the news headline suggest a PastPrice for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",Yes,"[Yes, No]",0,""
headlines86,"Look for any mention of future gold prices. Does the news headline suggest a FuturePrice for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines87,"Look for any mention of future gold prices. Does the news headline suggest a PastNews for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines88,"Look for any mention of future gold prices. Does the news headline suggest a FutureNews for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines89,"Look for any mention of future gold prices. Does the news headline suggest a Asset Comparision for gold? Your response should be Yes or No.
Text: gold trying to get above $1,355 as uncertainties on russian sanctions linger on
Answer:",No,"[Yes, No]",1,""
headlines90,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",Yes,"[Yes, No]",0,""
headlines91,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines92,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines93,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",Yes,"[Yes, No]",0,""
headlines94,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",Yes,"[Yes, No]",0,""
headlines95,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines96,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines97,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines98,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: gold down for first time in seven sessions
Answer:",No,"[Yes, No]",1,""
headlines99,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",Yes,"[Yes, No]",0,""
headlines100,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",No,"[Yes, No]",1,""
headlines101,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",No,"[Yes, No]",1,""
headlines102,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",Yes,"[Yes, No]",0,""
headlines103,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",Yes,"[Yes, No]",0,""
headlines104,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",No,"[Yes, No]",1,""
headlines105,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",No,"[Yes, No]",1,""
headlines106,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",No,"[Yes, No]",1,""
headlines107,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: metals focus : us mint sales of silver, gold coins headed to 11-year low
Answer:",Yes,"[Yes, No]",0,""
headlines108,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",Yes,"[Yes, No]",0,""
headlines109,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines110,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines111,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",Yes,"[Yes, No]",0,""
headlines112,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",Yes,"[Yes, No]",0,""
headlines113,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines114,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines115,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines116,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: charts : gold – bearish pattern appears – time for cut & reverse strategy!
Answer:",No,"[Yes, No]",1,""
headlines117,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a Price or Not in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",Yes,"[Yes, No]",0,""
headlines118,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a Direction Up in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines119,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a Direction Constant in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines120,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a Direction Down in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",Yes,"[Yes, No]",0,""
headlines121,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a PastPrice in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",Yes,"[Yes, No]",0,""
headlines122,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a FuturePrice in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines123,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a PastNews in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines124,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a FutureNews in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines125,"Consider if the headline compares gold with other assets. Does the news headline mention anything about a Asset Comparision in gold commodities? Please answer Yes or No.
Text: Dec. gold down $10.60, or 0.8%, to settle at $1,316.50/oz
Answer:",No,"[Yes, No]",1,""
headlines126,"Look for any references to future events concerning gold. In the context of gold, is there a Price or Not implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",Yes,"[Yes, No]",0,""
headlines127,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines128,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Constant implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines129,"Look for any references to future events concerning gold. In the context of gold, is there a Direction Down implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",Yes,"[Yes, No]",0,""
headlines130,"Look for any references to future events concerning gold. In the context of gold, is there a PastPrice implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",Yes,"[Yes, No]",0,""
headlines131,"Look for any references to future events concerning gold. In the context of gold, is there a FuturePrice implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines132,"Look for any references to future events concerning gold. In the context of gold, is there a PastNews implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines133,"Look for any references to future events concerning gold. In the context of gold, is there a FutureNews implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines134,"Look for any references to future events concerning gold. In the context of gold, is there a Asset Comparision implied in the news headline? Respond with Yes or No.
Text: gold off 0.55% at $435.5/ounce
Answer:",No,"[Yes, No]",1,""
headlines135,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Price or Not related to gold? Please respond with Yes or No.
Text: gold futures close down $16.10 at $651.90 an ounce
Answer:",Yes,"[Yes, No]",0,""
headlines136,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Up related to gold? Please respond with Yes or No.
Text: gold futures close down $16.10 at $651.90 an ounce
Answer:",No,"[Yes, No]",1,""
headlines137,"Consider whether the headline mentions the price of gold. Is the news headline discussing a Direction Constant related to gold? Please respond with Yes or No.
Text: gold futures close down $16.10 at $651.90 an ounce
Answer:",No,"[Yes, No]",1,""
