id,query,answer,choices,gold,text
10,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 32.67, A3: 9.0, A4: 1.0, A5: 9.0, A6: 8.0, A7: 5.25, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 154.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 32.67, A3: 9.0, A4: 1.0, A5: 9.0, A6: 8.0, A7: 5.25, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 154.0, A14: 1.0."
11,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 28.08, A3: 15.0, A4: 1.0, A5: 10.0, A6: 9.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 13213.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 28.08, A3: 15.0, A4: 1.0, A5: 10.0, A6: 9.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 13213.0."
12,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 28.33, A3: 5.0, A4: 2.0, A5: 9.0, A6: 4.0, A7: 11.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 70.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 28.33, A3: 5.0, A4: 2.0, A5: 9.0, A6: 4.0, A7: 11.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 70.0, A14: 1.0."
13,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 31.42, A3: 15.5, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.5, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 120.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 31.42, A3: 15.5, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.5, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 120.0, A14: 1.0."
14,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 31.57, A3: 0.625, A4: 2.0, A5: 4.0, A6: 4.0, A7: 0.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 380.0, A14: 2011.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 31.57, A3: 0.625, A4: 2.0, A5: 4.0, A6: 4.0, A7: 0.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 380.0, A14: 2011.0."
15,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 16.92, A3: 0.5, A4: 2.0, A5: 3.0, A6: 4.0, A7: 0.165, A8: 0.0, A9: 1.0, A10: 6.0, A11: 1.0, A12: 2.0, A13: 240.0, A14: 36.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 0.0, A2: 16.92, A3: 0.5, A4: 2.0, A5: 3.0, A6: 4.0, A7: 0.165, A8: 0.0, A9: 1.0, A10: 6.0, A11: 1.0, A12: 2.0, A13: 240.0, A14: 36.0."
16,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 23.17, A3: 11.125, A4: 2.0, A5: 14.0, A6: 8.0, A7: 0.46, A8: 1.0, A9: 1.0, A10: 1.0, A11: 0.0, A12: 2.0, A13: 100.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 23.17, A3: 11.125, A4: 2.0, A5: 14.0, A6: 8.0, A7: 0.46, A8: 1.0, A9: 1.0, A10: 1.0, A11: 0.0, A12: 2.0, A13: 100.0, A14: 1.0."
17,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 31.57, A3: 3.5, A4: 2.0, A5: 2.0, A6: 4.0, A7: 3.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 300.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 0.0, A2: 31.57, A3: 3.5, A4: 2.0, A5: 2.0, A6: 4.0, A7: 3.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 300.0, A14: 1.0."
18,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 18.58, A3: 10.0, A4: 2.0, A5: 2.0, A6: 4.0, A7: 0.415, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 80.0, A14: 43.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 0.0, A2: 18.58, A3: 10.0, A4: 2.0, A5: 2.0, A6: 4.0, A7: 0.415, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 80.0, A14: 43.0."
19,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 30.08, A3: 1.04, A4: 1.0, A5: 3.0, A6: 5.0, A7: 0.5, A8: 1.0, A9: 1.0, A10: 10.0, A11: 1.0, A12: 2.0, A13: 132.0, A14: 29.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 30.08, A3: 1.04, A4: 1.0, A5: 3.0, A6: 5.0, A7: 0.5, A8: 1.0, A9: 1.0, A10: 10.0, A11: 1.0, A12: 2.0, A13: 132.0, A14: 29.0."
20,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 48.75, A3: 26.335, A4: 1.0, A5: 1.0, A6: 1.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 48.75, A3: 26.335, A4: 1.0, A5: 1.0, A6: 1.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 1.0."
21,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 27.42, A3: 12.5, A4: 2.0, A5: 6.0, A6: 5.0, A7: 0.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 720.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 27.42, A3: 12.5, A4: 2.0, A5: 6.0, A6: 5.0, A7: 0.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 720.0, A14: 1.0."
22,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 20.08, A3: 1.25, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.0, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 0.0, A2: 20.08, A3: 1.25, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.0, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 1.0."
23,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 19.17, A3: 0.585, A4: 1.0, A5: 6.0, A6: 4.0, A7: 0.585, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 160.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 0.0, A2: 19.17, A3: 0.585, A4: 1.0, A5: 6.0, A6: 4.0, A7: 0.585, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 160.0, A14: 1.0."
24,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 25.33, A3: 0.58, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.29, A8: 1.0, A9: 1.0, A10: 7.0, A11: 1.0, A12: 2.0, A13: 96.0, A14: 5125.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 25.33, A3: 0.58, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.29, A8: 1.0, A9: 1.0, A10: 7.0, A11: 1.0, A12: 2.0, A13: 96.0, A14: 5125.0."
25,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 20.67, A3: 1.835, A4: 2.0, A5: 11.0, A6: 4.0, A7: 2.085, A8: 1.0, A9: 1.0, A10: 5.0, A11: 0.0, A12: 2.0, A13: 220.0, A14: 2504.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 20.67, A3: 1.835, A4: 2.0, A5: 11.0, A6: 4.0, A7: 2.085, A8: 1.0, A9: 1.0, A10: 5.0, A11: 0.0, A12: 2.0, A13: 220.0, A14: 2504.0."
26,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 37.33, A3: 2.665, A4: 2.0, A5: 13.0, A6: 4.0, A7: 0.165, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 502.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 37.33, A3: 2.665, A4: 2.0, A5: 13.0, A6: 4.0, A7: 0.165, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 502.0."
27,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 20.17, A3: 5.625, A4: 2.0, A5: 9.0, A6: 4.0, A7: 1.71, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 1.0, A13: 120.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 20.17, A3: 5.625, A4: 2.0, A5: 9.0, A6: 4.0, A7: 1.71, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 1.0, A13: 120.0, A14: 1.0."
28,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 32.33, A3: 2.5, A4: 2.0, A5: 8.0, A6: 4.0, A7: 1.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 280.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 32.33, A3: 2.5, A4: 2.0, A5: 8.0, A6: 4.0, A7: 1.25, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 280.0, A14: 1.0."
